iter	Passed	Remaining
0	410	61164
1	797	59032
2	1180	57845
3	1570	57330
4	1933	56069
5	2338	56123
6	2688	54922
7	3042	54012
8	3420	53587
9	3746	52456
10	4110	51945
11	4460	51295
12	4796	50545
13	5165	50179
14	5551	49963
15	5895	49378
16	6220	48667
17	6552	48049
18	6870	47372
19	7195	46768
20	7504	46098
21	7853	45693
22	8144	44972
23	8499	44621
24	8804	44024
25	9128	43536
26	9437	42991
27	9751	42488
28	10025	41829
29	10331	41324
30	10628	40800
31	10890	40160
32	11172	39612
33	11501	39241
34	11815	38821
35	12106	38338
36	12382	37818
37	12663	37324
38	12949	36856
39	13282	36526
40	13591	36133
41	13888	35712
42	14197	35327
43	14465	34847
44	14783	34494
45	15074	34082
46	15374	33693
47	15668	33295
48	15965	32908
49	16251	32503
50	16522	32073
51	16790	31643
52	17100	31296
53	17350	30845
54	17608	30415
55	17886	30023
56	18170	29646
57	18408	29199
58	18681	28813
59	18995	28492
60	19295	28151
61	19597	27815
62	20096	27752
63	20480	27520
64	20790	27187
65	21141	26907
66	21498	26632
67	21783	26267
68	22053	25889
69	22398	25598
70	22746	25308
71	23089	25013
72	23396	24678
73	23699	24340
74	24017	24017
75	24362	23720
76	24688	23406
77	24965	23045
78	25250	22693
79	25518	22328
80	25772	21954
81	26122	21662
82	26424	21330
83	26753	21020
84	27082	20710
85	27379	20375
86	27649	20021
87	27971	19706
88	28249	19362
89	28554	19036
90	28841	18699
91	29146	18375
92	29412	18026
93	29734	17714
94	30028	17384
95	30386	17092
96	30696	16772
97	30975	16435
98	31313	16131
99	31619	15809
100	31861	15457
101	32130	15120
102	32451	14807
103	32746	14483
104	33015	14149
105	33267	13809
106	33549	13482
107	33819	13152
108	34079	12818
109	34380	12502
110	34617	12162
111	34851	11824
112	35067	11482
113	35395	11177
114	35670	10856
115	35989	10548
116	36326	10246
117	36609	9928
118	36917	9617
119	37211	9302
120	37509	8989
121	37834	8683
122	38125	8368
123	38428	8057
124	38741	7748
125	39034	7435
126	39372	7130
127	39661	6816
128	39914	6497
129	40212	6186
130	40499	5873
131	40782	5561
132	41044	5246
133	41336	4935
134	41653	4628
135	41919	4315
136	42208	4005
137	42473	3693
138	42749	3383
139	42985	3070
140	43244	2760
141	43499	2450
142	43706	2139
143	43975	1832
144	44222	1524
145	44490	1218
146	44735	912
147	45022	608
148	45284	303
149	45523	0
